Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
7.1427e-05,UE,PHY,Rxed,0,0,0,2,0
7.1427e-05,UE,PHY,Rxed,0,0,0,2,0
7.1427e-05,UE,PHY,Rxed,0,0,0,2,0
7.1427e-05,UE,PHY,Rxed,0,0,0,2,0
7.1427e-05,UE,PHY,Rxed,0,0,0,2,0
7.1427e-05,UE,PHY,Rxed,0,0,0,4,0
7.1427e-05,UE,PHY,Rxed,0,0,0,4,0
7.1427e-05,UE,PHY,Rxed,0,0,0,4,0
7.1427e-05,UE,PHY,Rxed,0,0,0,4,0
7.1427e-05,UE,PHY,Rxed,0,0,0,4,0
0.00507143,UE,PHY,Rxed,0,5,0,2,0
0.00507143,UE,PHY,Rxed,0,5,0,2,0
0.00507143,UE,PHY,Rxed,0,5,0,2,0
0.00507143,UE,PHY,Rxed,0,5,0,2,0
0.00507143,UE,PHY,Rxed,0,5,0,2,0
0.00507143,UE,PHY,Rxed,0,5,0,4,0
0.00507143,UE,PHY,Rxed,0,5,0,4,0
0.00507143,UE,PHY,Rxed,0,5,0,4,0
0.00507143,UE,PHY,Rxed,0,5,0,4,0
0.00507143,UE,PHY,Rxed,0,5,0,4,0
0.0100714,UE,PHY,Rxed,1,0,0,2,0
0.0100714,UE,PHY,Rxed,1,0,0,2,0
0.0100714,UE,PHY,Rxed,1,0,0,2,0
0.0100714,UE,PHY,Rxed,1,0,0,2,0
0.0100714,UE,PHY,Rxed,1,0,0,2,0
0.0100714,UE,PHY,Rxed,1,0,0,4,0
0.0100714,UE,PHY,Rxed,1,0,0,4,0
0.0100714,UE,PHY,Rxed,1,0,0,4,0
0.0100714,UE,PHY,Rxed,1,0,0,4,0
0.0100714,UE,PHY,Rxed,1,0,0,4,0
0.0150714,UE,PHY,Rxed,1,5,0,2,0
0.0150714,UE,PHY,Rxed,1,5,0,2,0
0.0150714,UE,PHY,Rxed,1,5,0,2,0
0.0150714,UE,PHY,Rxed,1,5,0,2,0
0.0150714,UE,PHY,Rxed,1,5,0,2,0
0.0150714,UE,PHY,Rxed,1,5,0,4,0
0.0150714,UE,PHY,Rxed,1,5,0,4,0
0.0150714,UE,PHY,Rxed,1,5,0,4,0
0.0150714,UE,PHY,Rxed,1,5,0,4,0
0.0150714,UE,PHY,Rxed,1,5,0,4,0
0.0200714,UE,PHY,Rxed,2,0,0,2,0
0.0200714,UE,PHY,Rxed,2,0,0,2,0
0.0200714,UE,PHY,Rxed,2,0,0,2,0
0.0200714,UE,PHY,Rxed,2,0,0,2,0
0.0200714,UE,PHY,Rxed,2,0,0,2,0
0.0200714,UE,PHY,Rxed,2,0,0,4,0
0.0200714,UE,PHY,Rxed,2,0,0,4,0
0.0200714,UE,PHY,Rxed,2,0,0,4,0
0.0200714,UE,PHY,Rxed,2,0,0,4,0
0.0200714,UE,PHY,Rxed,2,0,0,4,0
0.0210714,UE,PHY,Rxed,2,1,0,2,0
0.0210714,UE,PHY,Rxed,2,1,0,2,0
0.0210714,UE,PHY,Rxed,2,1,0,2,0
0.0210714,UE,PHY,Rxed,2,1,0,2,0
0.0210714,UE,PHY,Rxed,2,1,0,2,0
0.0210714,UE,PHY,Rxed,2,1,0,4,0
0.0210714,UE,PHY,Rxed,2,1,0,4,0
0.0210714,UE,PHY,Rxed,2,1,0,4,0
0.0210714,UE,PHY,Rxed,2,1,0,4,0
0.0210714,UE,PHY,Rxed,2,1,0,4,0
0.0250714,UE,PHY,Rxed,2,5,0,2,5
0.0250714,UE,PHY,Rxed,2,5,0,2,4
0.0250714,UE,PHY,Rxed,2,5,0,2,3
0.0250714,UE,PHY,Rxed,2,5,0,2,2
0.0250714,UE,PHY,Rxed,2,5,0,2,1
0.0250714,UE,PHY,Rxed,2,5,0,4,5
0.0250714,UE,PHY,Rxed,2,5,0,4,4
0.0250714,UE,PHY,Rxed,2,5,0,4,3
0.0250714,UE,PHY,Rxed,2,5,0,4,2
0.0250714,UE,PHY,Rxed,2,5,0,4,1
0.0300714,UE,PHY,Rxed,3,0,0,2,5
0.0300714,UE,PHY,Rxed,3,0,0,2,4
