Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.02186,DL,102,1,0,10,2,1,0,1,1,1110,4,1,0,71.6308,0,0
1.02193,DL,102,1,0,1,12,3,0,3,3,466,0,1,1,54.9773,0,0
1.02229,DL,102,2,0,1,3,1,0,5,5,8412,14,1,0,62.9812,0,0
1.0225,DL,102,2,0,4,3,1,0,4,4,8412,14,1,0,70.4133,0,0
1.02264,DL,102,2,0,7,2,1,0,3,3,641,2,1,0,59.4651,0,0
1.02279,DL,102,2,0,9,2,1,0,2,2,641,2,1,0,60.8899,0,0
1.02293,DL,102,2,0,1,12,3,0,3,3,466,0,1,1,16.4425,0,0
1.02293,DL,102,2,0,11,2,1,0,1,1,1110,4,1,0,71.7012,0,0
1.02329,DL,102,3,0,1,3,1,0,5,5,8412,14,1,0,8.06107,0,0
1.02329,DL,102,3,0,1,3,3,0,5,5,10514,16,1,0,9.39384,0,0
1.02343,DL,102,3,0,4,2,3,0,4,4,4323,12,1,0,5.78479,0,0
1.0235,DL,102,3,0,4,3,1,0,4,4,8412,14,1,0,21.1077,0,0
1.02357,DL,102,3,0,6,2,3,0,3,3,466,0,1,0,9.70746,0,0
1.02364,DL,102,3,0,7,2,1,0,3,3,641,2,1,0,11.9078,0,0
1.02371,DL,102,3,0,8,2,3,0,2,2,1110,4,1,0,12.551,0,0
1.02379,DL,102,3,0,9,2,1,0,2,2,641,2,1,0,13.2657,0,0
1.02386,DL,102,3,0,10,2,3,0,1,1,16118,28,1,0,43.886,0,0
1.02393,DL,102,3,0,11,2,1,0,1,1,1110,4,1,0,69.4578,0,0
1.02429,DL,102,4,0,1,3,1,0,5,5,19712,24,1,0,8.0899,1,1
1.02429,DL,102,4,0,1,3,3,0,5,5,10514,16,1,0,9.25435,0,9.63674e-13
1.0245,DL,102,4,0,4,3,1,0,4,4,19712,24,1,0,7.05239,1,1
1.0245,DL,102,4,0,4,3,3,0,4,4,6483,12,1,0,5.8817,0,0
1.02464,DL,102,4,0,7,2,1,0,3,3,13140,24,1,0,-5.48542,1,1
1.02464,DL,102,4,0,7,2,3,0,3,3,13140,24,1,0,-13.9331,1,1
1.02479,DL,102,4,0,9,2,1,0,2,2,13140,24,1,0,-3.54461,1,1
1.02479,DL,102,4,0,9,2,3,0,2,2,1110,4,1,0,-1.89502,0,0
1.02493,DL,102,4,0,11,2,1,0,1,1,13140,24,1,0,-3.24889,1,1
1.02493,DL,102,4,0,11,2,3,0,1,1,16118,28,1,0,44.1009,0,0
1.02529,DL,102,5,0,1,3,1,0,5,5,19712,24,1,0,8.03178,1,1
1.02529,DL,102,5,0,1,3,3,0,5,5,10514,16,1,0,9.33039,0,2.17604e-14
1.0255,DL,102,5,0,4,3,1,0,4,4,19712,24,1,0,7.1088,1,1
1.0255,DL,102,5,0,4,3,3,0,4,4,6483,12,1,0,5.79836,0,0
1.02564,DL,102,5,0,7,2,1,0,3,3,13140,24,1,0,-5.60425,1,1
1.02564,DL,102,5,0,7,2,3,0,3,3,13140,24,1,0,-13.9351,1,1
1.02579,DL,102,5,0,9,2,1,0,2,2,13140,24,1,0,-3.45364,1,1
1.02579,DL,102,5,0,9,2,3,0,2,2,1110,4,1,0,-1.80799,0,0
1.02593,DL,102,5,0,11,2,1,0,1,1,13140,24,1,0,-3.10784,1,1
