time(s)	cellId	rnti	lcid	packetSize
1.058	4	4	3	8409
1.058	4	3	3	463
1.058	4	2	3	1107
1.058	4	1	3	16115
1.059	2	5	3	8409
1.059	2	4	3	8409
1.059	2	3	3	638
1.059	2	2	3	638
1.059	2	1	3	2567
1.06	2	5	3	8409
1.06	2	4	3	8409
1.06	2	3	3	638
1.06	2	2	3	638
1.06	2	1	3	638
1.06	4	5	3	10511
1.06	4	4	3	8409
1.06	4	3	3	463
1.06	4	2	3	1107
1.06	4	1	3	16115
1.062	2	5	3	8409
1.062	2	4	3	8409
1.062	2	3	3	638
1.062	2	2	3	638
1.062	2	1	3	638
1.062	4	5	3	10511
1.062	4	4	3	8409
1.062	4	3	3	463
1.062	4	2	3	1107
1.062	4	1	3	16115
1.063	2	5	3	19709
1.063	2	4	3	19709
1.063	2	3	3	13137
1.063	2	2	3	638
1.063	2	1	3	13137
1.063	4	5	3	10511
1.063	4	4	3	8409
1.063	4	3	3	16115
1.063	4	2	3	1107
1.063	4	1	3	16115
1.064	2	5	3	19709
1.064	2	4	3	19709
1.064	2	3	3	13137
1.064	2	2	3	638
1.064	2	1	3	16115
1.064	4	5	3	19709
1.064	4	4	3	19709
1.064	4	3	3	13137
1.064	4	2	3	13137
1.064	4	1	3	16115
1.065	2	5	3	19709
1.065	2	4	3	19709
1.065	2	3	3	13137
1.065	2	2	3	13137
1.065	2	1	3	13137
1.066	2	5	3	8409
1.066	2	4	3	8409
1.066	2	3	3	638
1.066	2	2	3	1107
1.066	2	1	3	638
1.067	2	5	3	14453
1.067	2	4	3	14453
1.067	2	3	3	2567
1.067	2	2	3	1107
1.067	2	1	3	2567
1.07	2	5	3	8409
1.07	2	4	3	8409
1.07	2	3	3	638
1.07	2	2	3	1107
1.07	2	1	3	638
1.07	4	5	3	10511
1.07	4	4	3	8409
1.07	4	3	3	463
1.07	4	2	3	1107
1.07	4	1	3	16115
1.071	2	5	3	19709
1.071	2	4	3	19709
1.071	2	3	3	13137
1.071	2	2	3	13137
1.071	2	1	3	13137
1.071	4	5	3	10511
1.071	4	4	3	8409
1.071	4	3	3	13137
1.071	4	2	3	1107
1.071	4	1	3	16115
1.072	2	5	3	19709
1.072	2	4	3	13137
1.072	2	3	3	13137
1.072	2	2	3	13137
1.072	2	1	3	13137
1.072	4	5	3	10511
1.072	4	4	3	8409
1.072	4	3	3	13137
1.072	4	2	3	1107
1.072	4	1	3	16115
1.073	2	5	3	19709
1.073	2	4	3	19709
1.073	2	3	3	13137
1.073	2	2	3	13137
1.073	2	1	3	13137
1.075	2	5	3	10511
1.075	2	4	3	8409
1.075	2	3	3	638
1.075	2	2	3	13137
1.075	2	1	3	638
1.078	2	5	3	8409
1.078	2	4	3	8409
1.078	2	3	3	9634
1.078	2	2	3	9634
1.078	2	1	3	16115
1.078	4	5	3	10511
1.078	4	4	3	24176
1.078	4	3	3	7005
1.078	4	2	3	7882
1.078	4	1	3	16115
1.08	2	5	3	19709
1.08	2	4	3	19709
1.08	2	3	3	638
1.08	2	2	3	13137
1.08	2	1	3	638
1.08	4	5	3	10511
1.08	4	4	3	24176
1.08	4	3	3	463
1.08	4	2	3	463
1.08	4	1	3	16115
1.081	2	5	3	19709
1.081	2	4	3	19709
1.081	2	3	3	13137
1.081	2	2	3	13137
1.081	2	1	3	13137
1.082	2	5	3	19709
1.082	2	4	3	19709
1.082	2	3	3	11387
1.082	2	2	3	11387
1.082	2	1	3	13137
1.084	2	5	3	8409
1.084	2	4	3	8409
1.084	2	3	3	638
1.084	2	2	3	1107
1.084	2	1	3	638
1.084	4	5	3	10511
1.084	4	4	3	6480
1.084	4	3	3	463
1.084	4	2	3	1107
1.084	4	1	3	16115
1.086	2	5	3	8409
1.086	2	4	3	8409
1.086	2	3	3	638
1.086	2	2	3	1107
1.086	2	1	3	638
1.086	4	5	3	10511
1.086	4	4	3	6480
1.086	4	3	3	463
1.086	4	2	3	1107
1.086	4	1	3	16115
1.087	2	5	3	19709
1.087	2	4	3	19709
1.087	2	3	3	13137
1.087	2	2	3	13137
1.087	2	1	3	13137
1.087	4	5	3	10511
1.087	4	4	3	6480
1.087	4	3	3	13137
1.087	4	2	3	1107
1.087	4	1	3	16115
1.089	2	5	3	19709
1.089	2	4	3	19709
1.089	2	3	3	638
1.089	2	2	3	1107
1.089	2	1	3	638
1.09	2	5	3	8409
1.09	2	4	3	8409
1.09	2	3	3	638
1.09	2	2	3	1107
1.09	2	1	3	638
1.091	2	5	3	11824
1.091	2	4	3	5604
1.091	2	3	3	638
1.091	2	2	3	1749
1.091	2	1	3	638
1.094	2	5	3	8409
1.094	2	4	3	8409
1.094	2	3	3	16115
1.094	2	2	3	16115
1.094	2	1	3	16115
1.094	4	5	3	10511
1.094	4	4	3	6480
1.094	4	3	3	463
1.094	4	2	3	1107
1.094	4	1	3	16115
1.095	2	5	3	19709
1.095	2	4	3	19709
1.095	2	3	3	13137
1.095	2	2	3	13137
1.095	2	1	3	13137
1.095	4	5	3	10511
1.095	4	4	3	6480
1.095	4	3	3	13137
1.095	4	2	3	1107
1.095	4	1	3	16115
1.096	2	5	3	14453
1.096	2	4	3	14453
1.096	2	3	3	5604
1.096	2	2	3	5604
1.096	2	1	3	5604
1.096	4	5	3	10511
1.096	4	4	3	24176
1.096	4	3	3	9634
1.096	4	2	3	1107
1.096	4	1	3	16115
1.097	2	5	3	19709
1.097	2	4	3	19709
1.097	2	3	3	13137
1.097	2	2	3	13137
1.097	2	1	3	13137
1.098	4	5	3	10511
1.098	4	4	3	24176
1.098	4	3	3	463
1.098	4	2	3	1107
1.098	4	1	3	16115
1.102	4	5	3	10511
1.102	4	4	3	6480
1.102	4	3	3	463
1.102	4	2	3	1107
1.102	4	1	3	16115
1.103	2	5	3	19709
1.103	2	4	3	19709
1.103	2	3	3	13137
1.103	2	2	3	13137
1.103	2	1	3	13137
1.104	4	5	3	19709
1.104	4	4	3	19709
1.104	4	3	3	13137
1.104	4	2	3	13137
1.104	4	1	3	16115
1.105	2	5	3	19709
1.105	2	4	3	19709
1.105	2	3	3	9634
1.105	2	2	3	9634
1.105	2	1	3	9634
1.106	2	5	3	19709
1.106	2	4	3	19709
1.106	2	3	3	11387
1.106	2	2	3	11387
1.106	2	1	3	9634
1.107	2	5	3	24176
1.107	2	4	3	24176
1.107	2	3	3	16115
1.107	2	2	3	11387
1.107	2	1	3	16115
1.107	4	5	3	19709
1.107	4	4	3	6480
1.107	4	3	3	463
1.107	4	2	3	13137
1.107	4	1	3	16115
1.108	4	5	3	17080
1.108	4	4	3	9634
1.108	4	3	3	9634
1.108	4	2	3	9634
1.108	4	1	3	16115
1.109	4	5	3	17080
1.109	4	4	3	24176
1.109	4	3	3	9634
1.109	4	2	3	9634
1.109	4	1	3	16115
1.11	2	5	3	17080
1.11	2	4	3	17080
1.11	2	3	3	14890
1.11	2	2	3	11387
1.11	2	1	3	11387
1.11	4	5	3	19709
1.11	4	4	3	19709
1.11	4	3	3	13137
1.11	4	2	3	13137
1.11	4	1	3	16115
1.111	4	5	3	19709
1.111	4	4	3	19709
1.111	4	3	3	13137
1.111	4	2	3	13137
1.111	4	1	3	16115
1.114	2	5	3	24176
1.114	2	4	3	24176
1.114	2	3	3	16115
1.114	2	2	3	16115
1.114	2	1	3	638
1.118	4	5	3	11824
1.118	4	4	3	6480
1.118	4	3	3	463
1.118	4	2	3	638
1.118	4	1	3	16115
1.119	4	5	3	14453
1.119	4	4	3	5604
1.119	4	3	3	2567
1.119	4	2	3	2567
1.119	4	1	3	16115
1.121	4	5	3	10511
1.121	4	4	3	5255
1.121	4	3	3	463
1.121	4	2	3	1107
1.121	4	1	3	16115
1.122	2	5	3	6480
1.122	2	4	3	6480
1.122	2	3	3	2567
1.122	2	2	3	1107
1.122	2	1	3	463
1.123	2	5	3	14453
1.123	2	4	3	11824
1.123	2	3	3	2565
1.123	2	2	3	1107
1.123	2	1	3	463
1.123	4	5	3	19709
1.123	4	4	3	19709
1.123	4	3	3	463
1.123	4	2	3	1107
1.123	4	1	3	16115
1.124	2	5	3	14453
1.124	2	4	3	11824
1.124	2	3	3	2567
1.124	2	2	3	11387
1.124	2	1	3	16115
1.126	2	5	3	24176
1.126	2	4	3	24176
1.126	2	3	3	16115
1.126	2	2	3	638
1.126	2	1	3	463
1.126	4	5	3	10511
1.126	4	4	3	6480
1.126	4	3	3	463
1.126	4	2	3	463
1.126	4	1	3	16115
1.127	2	5	3	24176
1.127	2	4	3	24176
1.127	2	3	3	14890
1.127	2	2	3	638
1.127	2	1	3	463
1.127	4	5	3	19709
1.127	4	4	3	19709
1.127	4	3	3	13137
1.127	4	2	3	13137
1.127	4	1	3	16115
1.129	4	5	3	10511
1.129	4	4	3	6480
1.129	4	3	3	463
1.129	4	2	3	1107
1.129	4	1	3	16115
1.13	4	5	3	19709
1.13	4	4	3	24176
1.13	4	3	3	5604
1.13	4	2	3	7005
1.13	4	1	3	16115
1.134	2	5	3	10511
1.134	2	4	3	8409
1.134	2	3	3	638
1.134	2	2	3	638
1.134	2	1	3	638
1.134	4	5	3	10511
1.134	4	4	3	3851
1.134	4	3	3	463
1.134	4	2	3	1107
1.134	4	1	3	16115
1.135	2	5	3	14453
1.135	2	4	3	16115
1.135	2	3	3	7005
1.135	2	2	3	7882
1.135	2	1	3	638
1.136	4	5	3	19709
1.136	4	4	3	19709
1.136	4	3	3	13137
1.136	4	2	3	13137
1.136	4	1	3	16115
1.138	2	5	3	10511
1.138	2	4	3	8409
1.138	2	3	3	638
1.138	2	2	3	7882
1.138	2	1	3	16115
1.138	4	5	3	11824
1.138	4	4	3	6480
1.138	4	3	3	638
1.138	4	2	3	1107
1.138	4	1	3	16115
1.14	4	5	3	10511
1.14	4	4	3	6480
1.14	4	3	3	463
1.14	4	2	3	1107
1.14	4	1	3	16115
1.141	2	5	3	17080
1.141	2	4	3	17080
1.141	2	3	3	11387
1.141	2	2	3	11387
1.141	2	1	3	11387
1.142	2	5	3	22335
1.142	2	4	3	17080
1.142	2	3	3	11387
1.142	2	2	3	11387
1.142	2	1	3	11387
1.142	4	5	3	14453
1.142	4	4	3	14453
1.142	4	3	3	2567
1.142	4	2	3	5604
1.142	4	1	3	16115
1.144	2	5	3	8409
1.144	2	4	3	8409
1.144	2	3	3	638
1.144	2	2	3	1107
1.144	2	1	3	638
1.145	2	5	3	11824
1.145	2	4	3	8409
1.145	2	3	3	638
1.145	2	2	3	1107
1.145	2	1	3	638
1.145	4	5	3	10511
1.145	4	4	3	6480
1.145	4	3	3	463
1.145	4	2	3	1107
1.145	4	1	3	16115
1.146	4	5	3	19709
1.146	4	4	3	19709
1.146	4	3	3	13137
1.146	4	2	3	13137
1.146	4	1	3	16115
1.149	4	5	3	10511
1.149	4	4	3	6480
1.149	4	3	3	463
1.149	4	2	3	1107
1.149	4	1	3	16115
1.151	2	5	3	8409
1.151	2	4	3	8409
1.151	2	3	3	638
1.151	2	2	3	1107
1.151	2	1	3	638
1.153	4	5	3	8409
1.153	4	4	3	3851
1.153	4	3	3	463
1.153	4	2	3	463
1.153	4	1	3	16115
1.154	2	5	3	10511
1.154	2	4	3	8409
1.154	2	3	3	638
1.154	2	2	3	2567
1.154	2	1	3	2567
1.154	4	5	3	8409
1.154	4	4	3	3851
1.154	4	3	3	463
1.154	4	2	3	463
1.154	4	1	3	16115
1.155	2	5	3	10511
1.155	2	4	3	8409
1.155	2	3	3	638
1.155	2	2	3	14890
1.155	2	1	3	2567
1.156	2	5	3	11824
1.156	2	4	3	8409
1.156	2	3	3	638
1.156	2	2	3	14890
1.156	2	1	3	2567
1.156	4	5	3	19709
1.156	4	4	3	19709
1.156	4	3	3	463
1.156	4	2	3	13137
1.156	4	1	3	16115
1.157	4	5	3	19709
1.157	4	4	3	22335
1.157	4	3	3	7005
1.157	4	2	3	7005
1.157	4	1	3	16115
1.158	2	5	3	10511
1.158	2	4	3	8409
1.158	2	3	3	638
1.158	2	2	3	1107
1.158	2	1	3	638
1.158	4	5	3	19709
1.158	4	4	3	22335
1.158	4	3	3	16115
1.158	4	2	3	16115
1.158	4	1	3	16115
1.16	4	5	3	10511
1.16	4	4	3	6480
1.16	4	3	3	463
1.16	4	2	3	1107
1.16	4	1	3	16115
1.162	2	5	3	10511
1.162	2	4	3	8409
1.162	2	3	3	638
1.162	2	2	3	1107
